DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,29/04/2017,"[F0029000001] HIMGRN:B17D114734, TEHSIL OFFICE COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -patwar record and mutation fee",1,133
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,31/05/2017,"[G0029000001] HIMGRN:B17E112596, TEHSIL OFFICE INCOME FROM THE SALE OF KISAN PASS BOOK COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION",1,111
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,30/06/2017,"[H0029000001] HIMGRN:B17F110199, TEHSIL OFFICE COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -",1,198
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,31/07/2017,"[I0029000001] HIMGRN:B17G106020, TEHSIL OFFICE COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -mutation fee, patwar record fee, p",1,109
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,08/08/2017,"[J0029000001] HIMGRN:B17H103830, NAIB TEHSILDAR DHEERA COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -MUTATION FEES,COPYING FEES AND INS",1,209
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,08/09/2017,"[K0029000001] HIMGRN:B17I104547, NT DHEERA INCOME FROM THE SALE OF KISAN PASS BOOK COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION",1,151
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,31/10/2017,"[L0029000001] HIMGRN:B17J106562, NAIB TEHSILDAR DHEERA COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -mutation fees, copying fee and ins",1,110
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,30/11/2017,"[M0029000001] HIMGRN:B17K114420, NAIB TEHSILDAR DHEERA COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -Mutation fees, Patwar Record fees,",1,55
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,20/12/2017,"[N0029000001] HIMGRN:B17L108307, NT DHEERA INCOME FROM THE SALE OF KISAN PASS BOOK COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION",1,44
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,20/01/2018,"[C0029000001] HIMGRN:B18A113771, NAIB TEHSILDAR DHEERA COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION FEES -Mutation fees,Patwar Record Fees,P",1,390
KNG13-537-TEHSILDAR DHEERA,0029-LAND REVENUE,0029-00-800-05-MUTATION FEES,22/02/2018,"[D0029000001] HIMGRN:b18b109898, NAIB TEHSILDAR DHEERA INCOME FROM THE SALE OF KISAN PASS BOOK COPYING FEE AND INSEPECTION FEE OF PATWARIS RECORD MUTATION",1,224
