DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,347651
"MDI16-001-DIV.ENGR.(SC)CZ, BHANGROTU",Total, , , ,3,347651
 ,0049-INTEREST RECEIPTS,Total, , ,1,6874
 , ,0049-04-800-13-MISCELLANEOUS,Total, ,1,6874
 , , ,31/08/2018,Total,1,6874
 , , , ,"[J0049000001] HIMGRN:B18H120616, DIVISIONAL ENGINEER (SOIL CONS) MISCELLANEOUS -Interest of saving account",1,6874
 ,0401-CROP HUSBANDRY,Total, , ,2,340777
 , ,0401-00-800-01-AGRICULTURE - RECEIPTS FROM AUCTION,Total, ,1,325000
 , , ,20/08/2018,Total,1,325000
 , , , ,"[J0401000001] HIMGRN:B18H111776, DIVISIONAL ENGINEER (SOIL CONS) AGRICULTURE - RECEIPTS FROM AUCTION -receipt of auction of unserviceable store stock articles",1,325000
 , ,0401-00-800-02-AGRICULTURE-RECEIPTS FROM RECOVERY OF OP,Total, ,1,15777
 , , ,26/06/2018,Total,1,15777
 , , , ,"[H0401000001] HIMGRN:B18F105643, DIVISIONAL ENGINEER AGRICULTURE-RECEIPTS FROM RECOVERY OF OP -",1,15777
