DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,21/02/2018,"[D8443000021] HIMGRN:B18B120643, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,7952320
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,21/02/2018,"[D8443000022] HIMGRN:B18B120617, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,1354025
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,21/02/2018,"[D8443000023] HIMGRN:B18B120641, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,1027990
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000022] HIMGRN:B18C111134, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,367141
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000023] HIMGRN:B18C111114, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,42348
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000024] HIMGRN:B18C111131, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,1624263
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000025] HIMGRN:B18C111122, LAND ACQUISITION OFICER REVENUE DEPOSITS -",1,2202044
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000026] HIMGRN:B18C111138, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,110106
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000027] HIMGRN:B18C111145, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,64956
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000028] HIMGRN:B18C111153, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,76260
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,14/03/2018,"[E8443000029] HIMGRN:B18C111098, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,1950
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,16/03/2018,"[E8443000038] HIMGRN:B18C111159, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,44046
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000040] HIMGRN:B18C120871, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,97804
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000041] HIMGRN:B18C120867, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,20380
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000042] HIMGRN:B18C120841, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,17977
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000043] HIMGRN:B18C120837, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,2891
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000044] HIMGRN:B18C120833, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,18795
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000045] HIMGRN:B18C120829, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,8248
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000046] HIMGRN:B18C120825, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,15498
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000047] HIMGRN:B18C120823, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,17273
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000048] HIMGRN:B18C120771, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,155188
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000049] HIMGRN:B18C120878, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,16656
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000050] HIMGRN:B18C120880, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,12301
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000051] HIMGRN:B18C120884, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,102001
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000052] HIMGRN:B18C120891, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,108396
SML00-007-L.A.O. NO.II SHIMLA,8443-CIVIL DEPOSITS,8443-00-101-00- ,19/03/2018,"[E8443000053] HIMGRN:B18C120761, LAND ACQUISITION OFFICER REVENUE DEPOSITS -",1,525282
