DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,5,16265
MDI03-212-GSSS  JAROL,Total, , , ,5,16265
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,5,16265
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,5,16265
 , , ,07/06/2017,Total,1,4490
 , , , ,"[H0202000001] HIMGRN:B17E152528, PRINCIPAL TUITION AND OTHER FEES -",1,4490
 , , ,31/08/2017,Total,1,2385
 , , , ,"[J0202000005] HIMGRN:B17H131987, PRINCIPAL TUITION AND OTHER FEES -",1,2385
 , , ,28/02/2018,Total,1,2385
 , , , ,"[D0202000005] HIMGRN:B18B126611, PRINCIPAL TUITION AND OTHER FEES -Tuition Fee",1,2385
 , , ,24/04/2018,Total,1,2775
 , , , ,"[F0202000002] HIMGRN:B18D107952, PRINCIPAL TUITION AND OTHER FEES -",1,2775
 , , ,10/05/2018,Total,1,4230
 , , , ,"[G0202000002] HIMGRN:B18E104929, PRINCIPAL TUITION AND OTHER FEES -",1,4230
