DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,339960
CHM07-002-C.D.P.O. CHOWARI,Total, , , ,3,339960
 ,0049-INTEREST RECEIPTS,Total, , ,1,339728
 , ,0049-04-800-13-MISCELLANEOUS,Total, ,1,339728
 , , ,28/02/2018,Total,1,339728
 , , , ,"[D0049000001] HIMGRN:B18B133852, CDPO CHOWARI MISCELLANEOUS -Interest Amt. earned on Saving Bank Accounts",1,339728
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,232
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,2,232
 , , ,28/02/2018,Total,1,210
 , , , ,"[D0070000004] HIMGRN:B18B137316, CDPO CHOWARI RECEIPT FROM RIGHT TO INFORMATION ACT -RTI Fees",1,210
 , , ,31/03/2018,Total,1,22
 , , , ,"[E0070000001] HIMGRN:B18C154369, CDPO CHOWARI RECEIPT FROM RIGHT TO INFORMATION ACT -RTI Fees",1,22
