DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000001] HIMGRN:B17J138452, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn. 1 No. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000002] HIMGRN:B17J138445, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/.04 KV, 25 KVA S/Stn. 1 No. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000003] HIMGRN:B17J138425, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn. 1 No. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000004] HIMGRN:B17J138416, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn. 1 No. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000005] HIMGRN:B17J138399, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn. 1 No. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000006] HIMGRN:B17J138344, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn.1 No. alon",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000007] HIMGRN:B17J138431, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 25 KVA S/Stn. 1 NO. alo",1,500
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,31/10/2017,"[L0043000008] HIMGRN:B17J138372, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of New 11/0.4 KV, 100 KVA S/Stn. 1 No. al",1,550
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,20/12/2017,"[N0043000001] HIMGRN:B17L109739, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection Fees of 63 KVA SStn. WSS Sarotri along with HT",1,800
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,20/12/2017,"[N0043000002] HIMGRN:B17L109730, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Less Payments of 11/0.4 KV, 63 KVA S/Stn. Morth-II and 11",1,200
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000003] HIMGRN:B17L131933, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection fees of 63 kva sstn. along with HT and LT line",1,800
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000004] HIMGRN:B17L131965, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection fees of 25 kva sstn. alongwith HT and LT line",1,700
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000005] HIMGRN:B17L131976, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection fees of 63 kva sstn. alongwith HT and LT line",1,800
KNG14-950-CHIEF ELECTRICAL INSPECTOR,0043-TAXES & DUTIES ON ELECTRICITY,0043-00-102-01-RECEIPT UNDER THE INDIAN ELECTRICITY RULE,30/12/2017,"[N0043000006] HIMGRN:B17L131985, ASSISTANT ENGINEER RECEIPT UNDER THE INDIAN ELECTRICITY RULE -Inspection fees of 25 kva sstn. alongwith HT and LT line",1,700
