DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,8,4225
DLI00-509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE,Total, , , ,8,4225
 ,"0040-TAX ON SALES,TRADE ETC.",Total, , ,8,4225
 , ,0040-00-111-10-TAX DEDUCTED UNDER SECTION 17,Total, ,7,4171
 , , ,15/04/2017,Total,1,1739
 , , , ,[F0040000001] HDFC STANDRED LIFE INS TAX DED,1,1739
 , , ,29/04/2017,Total,1,797
 , , , ,[F0040000002] HDFC STANDRED LIFE INS. TAX DED,1,797
 , , ,09/05/2017,Total,1,344
 , , , ,[G0040000001] ICICI PRUDENTIAL LIFE INS tax ded,1,344
 , , ,17/07/2017,Total,1,187
 , , , ,[I0040000001] BHARTI AXALIFE INS tax ded,1,187
 , , ,28/08/2017,Total,3,1104
 , , , ,[J0040000001] ICICI PRUDENTIAL BANK TAX DED,1,511
 , , , ,[J0040000002] FUTURE LIFE TAX DED,1,203
 , , , ,[J0040000003] HDFC LIFE INS. TAX DED,1,390
 , ,0040-00-111-11-INTEREST,Total, ,2,54
 , , ,28/08/2017,Total,1,7
 , , , ,[J0040000001] ICICI PRUDENTIAL BANK TAX DED,1,7
 , , ,29/09/2017,Total,1,47
 , , , ,[K0040000001] S B I GENERAL INS COM.LTD BUILDING BYEPASS ROAD PANTHAGHATI SHIMLA TAX DED,1,47
