DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/04/2017,[F0041000001] INCHARGE POST KOTLI CHALLAN FEE,1,500
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/04/2017,[F0041000002] INCHARGE POST KOTLI MV CHALLAN FEE,1,6400
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/06/2017,[H0041000001] POST KOTLI CHALLAN,1,10800
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,09/08/2017,[J0041000001] INCHARGE POST KOTLI MV CHALLAN,1,11000
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/09/2017,[K0041000001] IN-CHARGE POST KOTLI MV ACT CHALLAN,1,3700
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,24/10/2017,[L0041000001] INCH POST KOTLI MV ACT CHALLAN,1,11400
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/11/2017,[M0041000001] INCHARGE POST KOTLI CHALLAN,1,3700
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/11/2017,[M0041000002] INCHARGE KOTLI CHALLAN,1,3800
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,09/01/2018,[C0041000001] INC KOTLI MV CHALLAN,1,15200
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,07/02/2018,[D0041000001] POST KOTLI CHALLAN FEE,1,11000
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/03/2018,[E0041000001] POST KOTLI CHALLAN,1,11300
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,07/04/2018,"[F0041000001] HIMGRN:B18D110288, INCHARGE PENALTY -FEE MV ACT CHALLAN",1,8500
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,24/05/2018,[G0041000001] INC POST KOTLI CHALLAN FEE,1,16000
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/06/2018,"[H0041000001] HIMGRN:B18F104458, INC POST KOTLI PENALTY -mv act challan",1,11000
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,07/07/2018,[I0041000001] INCHARGE POLICE CHOWKI KOTLI COMPOUNDING FEE,1,14000
MDI08-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2018,[I0041000002] INC POST KOTLI MV CHALLAN,1,16200
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,22/06/2017,[H0055000001] POST KOTLI MINING ACT CHALLAN,1,500
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,22/09/2017,[K0055000001] POST INCHARGE KOTLI COM FEE OF MINING,1,250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,24/10/2017,[L0055000001] INCHARGE POST KOTLI FEE OF MINING ACT,1,200
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,20/11/2017,[M0055000001] INC KOTLI MINING CHALLAN,1,1250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,09/01/2018,[C0055000001] INC KOTLI MINING CHALLAN,1,500
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,07/02/2018,[D0055000001] POST KOTLI MINING FEE,1,1250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,07/04/2018,"[F0055000001] HIMGRN:B18D110237, INCHARGE POST KOTLI FEES FINES AND FORETURES. -MINING CHALLAN",1,250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,24/05/2018,[G0055000001] INC POST KOTLI MINING CHALLAN,1,1000
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,21/06/2018,[H0055000001] INC POST KOTLI MINING CHALLAN,1,250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,07/07/2018,[I0055000001] INCHARGE POLICE POST KOTLI COMPOUNDING FEE,1,250
MDI08-510-SUPERINTENDENT OF POLICE,0055-POLICE,0055-00-103-01-FEES FINES AND FORETURES.,31/07/2018,[I0055000002] INC POST KOTLI MINING CHALLALAN,1,250
