DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/04/2017,"[F0041000007] HIMGRN:B17D103459, SHO PS NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,22700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/04/2017,"[F0041000008] HIMGRN:B17D106340, I/C PAR DHANETA PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,3900
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000024] HIMGRN:B17D132786, SHO PS NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,18300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/04/2017,"[F0041000034] HIMGRN:B17D141210, SHO PS NADAUN PENALTY -FINE",1,5700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000035] HIMGRN:B17D150306, PS NADAUN PENALTY -FINE",1,9000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,29/04/2017,"[F0041000051] HIMGRN:B17D167024, SHO PS NADAUN PENALTY -MV ACT COMPOUNDING FEES",1,8600
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,09/05/2017,"[G0041000013] HIMGRN:B17E110458, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,9600
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000017] HIMGRN:B17E115165, SHO PS NADAUN PENALTY -FINE MV ACT",1,2700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000027] HIMGRN:B17E118263, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,6000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000034] HIMGRN:B17E122619, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,5300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/05/2017,"[G0041000041] HIMGRN:B17E125946, I/C PAR DHANETA PENALTY -Compounding fee under M.V Act.",1,4000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000050] HIMGRN:B17E135158, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,8800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000064] HIMGRN:B17E144378, SHO PS NADAUN PENALTY -fine",1,9200
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/05/2017,"[G0041000072] HIMGRN:B17E152041, SHO PS NDN PENALTY -FINE",1,2600
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/06/2017,"[H0041000007] HIMGRN:B17F104180, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,3600
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/06/2017,"[H0041000017] HIMGRN:B17F109530, I/C PAR DHANETA PENALTY -compounding fee under M.V. Act.",1,3300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/06/2017,"[H0041000018] HIMGRN:B17F112560, SHO PS NADAUN PENALTY -MV ACT COMPOUNDING FEE",1,3700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/06/2017,"[H0041000019] HIMGRN:B17F114062, SHO NADAUN PENALTY -MV ACT COMPOUNDING FEE",1,6400
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,20/06/2017,"[H0041000041] HIMGRN:B17F126703, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,13000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2017,"[H0041000048] HIMGRN:B17F128667, I/C PAR DHANETA PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,3800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,30/06/2017,"[H0041000061] HIMGRN:B17F137829, SHO PS NADAUN PENALTY -MV ACT COMPOUNDING FEE",1,18300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/07/2017,"[I0041000007] HIMGRN:B17G103844, I/C PAR DHANETA PENALTY -Compounding fee under M.V. Act",1,2100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/07/2017,"[I0041000008] HIMGRN:B17G102941, SHO NADAUN PENALTY -COMPOUNDING FEE OF MOTOR VEHICLE ACT CHALLAN",1,17000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000009] HIMGRN:B17G109911, SHO PS NADAUN PENALTY -COMPOUNDING FEE UNDER INDIAN MV ACT",1,6000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000010] HIMGRN:B17G114579, SHO PS NADAUN PENALTY -FINE",1,9500
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000017] HIMGRN:B17G118478, SHO PS NADAUN PENALTY -COMPOUNDING FEE",1,6100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000018] HIMGRN:B17G123234, SHO PS NADAUN PENALTY -Compounding fee",1,6700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000019] HIMGRN:B17G125562, SHO PS NADAUN PENALTY -compounding fee",1,4300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,21/07/2017,"[I0041000035] HIMGRN:B17G127833, I/C PAR DHANETA PENALTY -compunding fee under M.V Act",1,2400
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000041] HIMGRN:B17G130915, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,9800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000043] HIMGRN:B17G132449, SHO PS NADAUN PENALTY -compounding fee",1,4800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000044] HIMGRN:B17G136434, SHO PS NADAUN PENALTY -compounding fee under M.V Act",1,4300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000045] HIMGRN:B17G137262, SHO PS NADAUN PENALTY -compounding fee",1,3900
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000058] HIMGRN:B17G142280, SHO PS NADAUN PENALTY -compounding fee",1,2400
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000065] HIMGRN:B17G144142, SHO PS NADAUN PENALTY -compounding fee",1,2500
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/07/2017,"[I0041000066] HIMGRN:B17G146453, SHO PS NADAUN PENALTY -compounding fee",1,2100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000001] HIMGRN:B17H101239, SHO PS NADAUN PENALTY -compounding fee",1,10400
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000017] HIMGRN:B17H102233, SHO PS NADAUN PENALTY -compounding fee",1,5200
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000018] HIMGRN:B17H106150, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,3800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000019] HIMGRN:B17H102886, I/C PAR DHANETA PENALTY -Compounding fee under M.V Act",1,4700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000026] HIMGRN:B17H107342, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,6800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,10/08/2017,"[J0041000027] HIMGRN:B17H109047, SHO PS NADAUN PENALTY -MV ACT COMPOUNDING FEE",1,2600
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,19/08/2017,"[J0041000028] HIMGRN:B17H110153, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,4700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,19/08/2017,"[J0041000040] HIMGRN:B17H112638, SHO PS NADAUN PENALTY -MV ACT COMPOUNDING FEES",1,6900
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,19/08/2017,"[J0041000047] HIMGRN:B17H115836, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,6100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,19/08/2017,"[J0041000057] HIMGRN:B17H117639, SHO PS NADAUN PENALTY -compounding fee",1,4100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,19/08/2017,"[J0041000061] HIMGRN:B17H120159, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,2700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000062] HIMGRN:B17H121403, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,2100
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000063] HIMGRN:B17H122376, I/C PAR DHANETA PENALTY -compounding for under M.V.Act",1,1800
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000073] HIMGRN:B17H126350, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,5700
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000088] HIMGRN:B17H133062, SHO PS NADAUN PENALTY -compounding fee",1,4900
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000092] HIMGRN:B17H140159, SHO PS NADAUN PENALTY -compounding fee",1,2000
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,31/08/2017,"[J0041000093] HIMGRN:B17H139011, SHO PS NADAUN PENALTY -COMPOUNDING FEE",1,4200
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/09/2017,"[K0041000001] HIMGRN:B17I101407, SHO PS NADAUN PENALTY -compounding fee",1,3300
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/09/2017,"[K0041000002] HIMGRN:B17I104058, SHO PS NADAUN PENALTY -compounding fee",1,5900
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,08/09/2017,"[K0041000003] HIMGRN:B17I101640, I/C PAR DHANETA PENALTY -compounding for under M.V Act",1,2200
HMR02-510-SUPERINTENDENT OF POLICE,0041-TAXES ON VEHICLES,0041-00-101-04-PENALTY,22/09/2017,"[K0041000013] HIMGRN:B17I107729, SHO NADAUN PENALTY -COMPOUNDING FEE UNDER M.V ACT",1,2000
