DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,13,596280
"KNG13-621-E.E. PWD DIVISION,PALAMPUR",Total, , , ,13,596280
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,13,596280
 , ,8782-00-102-00- ,Total, ,13,596280
 , , ,29/04/2017,Total,1,600
 , , , ,"[F8782000004] HIMGRN:B17D170976, AE HPPWD SUB DIV DHEERA PUBLIC WORKS REMITTANCES -PWD REMITTANCES",1,600
 , , ,31/05/2017,Total,1,20950
 , , , ,"[G8782000004] HIMGRN:B17E143769, AE PWD DHEERA SUB DIVISION PUBLIC WORKS REMITTANCES -",1,20950
 , , ,30/06/2017,Total,1,17540
 , , , ,"[H8782000005] HIMGRN:B17F138403, AE PWD DHEERA PUBLIC WORKS REMITTANCES -",1,17540
 , , ,31/07/2017,Total,1,26880
 , , , ,"[I8782000007] HIMGRN:B17G141410, AE PWD DHEERA SUB DIVISION PUBLIC WORKS REMITTANCES -",1,26880
 , , ,31/08/2017,Total,1,31650
 , , , ,"[J8782000004] HIMGRN:B17H131705, AE PWD DHEERA SUB DIVISION DHEERA PUBLIC WORKS REMITTANCES -",1,31650
 , , ,29/09/2017,Total,1,93300
 , , , ,"[K8782000005] HIMGRN:B17I131706, AE PWD DHEERA SUB DIVISION DHEERA PUBLIC WORKS REMITTANCES -",1,93300
 , , ,31/10/2017,Total,1,19060
 , , , ,"[L8782000004] HIMGRN:B17J133595, AE PWD DHEERA SUB DIVISION PUBLIC WORKS REMITTANCES -",1,19060
 , , ,30/11/2017,Total,1,6000
 , , , ,"[M8782000003] HIMGRN:B17K127455, AE PWD DHEERA SUB DIVISION PUBLIC WORKS REMITTANCES -",1,6000
 , , ,30/01/2018,Total,1,7400
 , , , ,"[C8782000006] HIMGRN:b18a139416, AE PWD DHEERA PUBLIC WORKS REMITTANCES -",1,7400
 , , ,28/02/2018,Total,1,83250
 , , , ,"[D8782000004] HIMGRN:B18B135189, AEPWD SUB DIVISION DHEERA PUBLIC WORKS REMITTANCES -",1,83250
 , , ,31/03/2018,Total,1,25950
 , , , ,"[E8782000003] HIMGRN:b18c163416, AE PWD DHEERA PUBLIC WORKS REMITTANCES -",1,25950
 , , ,27/04/2018,Total,1,33900
 , , , ,"[F8782000003] HIMGRN:B18D167284, AE PWD DHEERA SUB DIVISION DHEERA PUBLIC WORKS REMITTANCES -",1,33900
 , , ,31/05/2018,Total,1,36150
 , , , ,"[G8782000004] HIMGRN:B18E145708, AE PWD DHEERA SUB DIVISION PUBLIC WORKS REMITTANCES -",1,36150
 , , ,30/06/2018,Total,1,37050
 , , , ,"[H8782000005] HIMGRN:B18F140466, AE PWD DHEERA PUBLIC WORKS REMITTANCES -",1,37050
 , , ,31/07/2018,Total,1,69650
 , , , ,"[I8782000004] HIMGRN:B18G144132, AEPWD SUB DIV DHEERA PUBLIC WORKS REMITTANCES -",1,69650
 , , ,31/08/2018,Total,1,86950
 , , , ,"[J8782000004] HIMGRN:B18H135572, AE PWD SUB DIV DHEERA PUBLIC WORKS REMITTANCES -",1,86950
